source_example_id,status,error,output_chars,prediction,reference_answers
56be4db0acb8001400a502ec,completed,,14,Denver Broncos,"[""Denver Broncos"", ""Denver Broncos"", ""Denver Broncos""]"
56be4db0acb8001400a502ee,completed,,23,"Santa Clara, California","[""Santa Clara, California"", ""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.""]"
56be4db0acb8001400a502f0,completed,,4,gold,"[""gold"", ""gold"", ""gold""]"
56beae423aeaaa14008c91f5,completed,,10,Von Miller,"[""Von Miller"", ""The Broncos"", ""Miller""]"
56beb7953aeaaa14008c92ac,completed,,2,11,"[""11"", ""11"", ""11""]"
56beb97c3aeaaa14008c92db,completed,,2,XX,"[""Super Bowl XX"", ""Super Bowl XX"", ""XX""]"
56bec0353aeaaa14008c9351,completed,,13,Tiffany & Co.,"[""Tiffany & Co."", ""Tiffany & Co"", ""Tiffany & Co""]"
56bec8243aeaaa14008c942b,completed,,10,Mike Carey,"[""Mike Carey"", ""Mike Carey"", ""Carey""]"
56bec98e3aeaaa14008c9458,completed,,7,McManus,"[""McManus"", ""McManus"", ""McManus""]"
56bf38383aeaaa14008c956e,completed,,16,Demaryius Thomas,"[""Demaryius Thomas"", ""Demaryius Thomas"", ""Thomas""]"
56bf38383aeaaa14008c956f,completed,,8,receiver,"[""receiver"", ""receiver"", ""Thomas""]"
56bf6d343aeaaa14008c961b,completed,,13,ESPN Deportes,"[""CBS"", ""ESPN Deportes"", ""ESPN Deportes""]"
56d6ee6e0d65d21400198254,completed,,1,3,"[""three"", ""three"", ""three""]"
56d6f1190d65d21400198274,completed,,17,Super Bowl XLVIII,"[""Super Bowl XLVIII"", ""Super Bowl XLVIII"", ""Super Bowl XLVIII""]"
56d714cd0d65d21400198358,completed,,25,A professional fundraiser,"[""A professional fundraiser"", ""A professional fundraiser"", ""professional fundraiser""]"
56d726b60d65d214001983ea,completed,,6,Miller,"[""Miller"", ""Miller"", ""Miller""]"
56d728e00d65d2140019841c,completed,,17,Jerricho Cotchery,"[""Jerricho Cotchery"", ""Jerricho Cotchery"", ""Cotchery""]"
56d99e78dc89441400fdb618,completed,,5,49-15,"[""49–15"", ""49–15"", ""49–15,""]"
56d99e78dc89441400fdb619,completed,,16,Seattle Seahawks,"[""Arizona Cardinals"", ""the Seattle Seahawks"", ""Cardinals""]"
56d9c049dc89441400fdb78f,completed,,28,Boomer Esiason and Dan Fouts,"[""Boomer Esiason and Dan Fouts"", ""Boomer Esiason and Dan Fouts"", ""Boomer Esiason and Dan Fouts""]"
56d9c455dc89441400fdb7c6,completed,,13,Marlee Matlin,"[""Marlee Matlin"", ""Marlee Matlin"", ""Marlee Matlin""]"
56dde0ba66d3e219004dad75,completed,,3,911,"[""911"", ""911"", ""911""]"
56de0ed14396321400ee257a,completed,,17,The Book of Roger,"[""The Book of Roger"", ""The Book of Roger"", ""The Book of Roger""]"
56de52614396321400ee27fb,completed,,14,southern Italy,"[""southern Italy"", ""southern Italy"", ""southern Italy""]"
56de52614396321400ee27fe,completed,,7,singing,"[""singing"", ""singing"", ""singing""]"
56e057e1231d4119001ac047,completed,,24,Thomas Commerford Martin,"[""Thomas Commerford Martin"", ""Thomas Commerford Martin"", ""Thomas Commerford Martin""]"
56e08aa0231d4119001ac299,completed,,42,American Institute of Electrical Engineers,"[""American Institute of Electrical Engineers"", ""the American Institute of Electrical Engineers"", ""American Institute of Electrical Engineers""]"
56e0b94b7aa994140058e6b9,completed,,6,Serbia,"[""Serbian"", ""Serbian"", ""Serbian""]"
56e0c1617aa994140058e6d7,completed,,14,Martin Sekulić,"[""Martin Sekulić"", ""Martin Sekulić"", ""math teacher Martin Sekulić""]"
56e0ed557aa994140058e7dd,completed,,15,Egg of Columbus,"[""Egg of Columbus"", ""the Egg of Columbus"", ""Egg of Columbus""]"
56e0f6aa231d4119001ac4ee,completed,,5,ozone,"[""ozone generated in contact with the skin"", ""ozone generated in contact with the skin"", ""the ozone generated in contact with the skin, and to a lesser extent, by nitrous acid.""]"
56e10179cd28a01900c67414,completed,,50,trans-Atlantic wireless telecommunicationsfacility,"[""trans-Atlantic wireless telecommunications facility"", ""trans-Atlantic wireless telecommunications"", ""trans-Atlantic wireless telecommunications""]"
56e10412e3433e1400422aba,completed,,13,steam-powered,"[""steam"", ""steam"", ""steam-powered""]"
56e11161e3433e1400422b87,completed,,13,John G. Trump,"[""John G. Trump"", ""John G. Trump"", ""John G. Trump""]"
56e11a16cd28a01900c675b6,completed,,34,9:00 a.m. until 6:00 p.m. or later,"[""9:00 a.m. until 6:00 p.m. or later"", ""9:00 a.m. until 6:00 p.m"", ""9:00 a.m. until 6:00 p.m. or later""]"
56e121b7e3433e1400422c51,completed,,4,1892,"[""1892"", ""1892, and in 1937"", ""1892""]"
56e126dae3433e1400422c7e,completed,,1,4,"[""several"", ""several"", ""several""]"
56e1a0dccd28a01900c67a2e,completed,,20,as decision problems,"[""decision problems"", ""as decision problems"", ""as decision problems""]"
56e1c3e1e3433e1400423148,completed,,13,time or space,"[""time or space"", ""time or space"", ""time or space""]"
56e1ce08e3433e14004231a5,completed,,33,No problem in C is harder than X.,"[""if every problem in C can be reduced to X"", ""problem in C is harder than X""]"
56e2042ecd28a01900c67c1f,completed,,4,1961,"[""1961"", ""1961"", ""1961""]"
56e7477700c9c71400d76f23,completed,,10,curriculum,"[""the curriculum."", ""curriculum"", ""curriculum""]"
56e7586d37bdd419002c3eb4,completed,,22,Most Western countries,"[""Most Western countries"", ""Most Western countries"", ""Most Western countries"", ""Most Western countries""]"
56e7611500c9c71400d77055,completed,,11,governments,"[""governments"", ""governments"", ""governments""]"
56e764e200c9c71400d77091,completed,,51,aligning his personal goals with his academic goals,"[""aligning his personal goals with his academic goals."", ""aligning his personal goals with his academic goals."", ""aligning his personal goals with his academic goals""]"
56e76abf37bdd419002c3f79,completed,,19,occupational stress,"[""occupational stress"", ""occupational stress"", ""Stress""]"
56e77a8700c9c71400d7718b,completed,,24,average teacher salaries,"[""average teacher salaries"", ""average teacher salaries"", ""teacher salaries""]"
56e77e4a00c9c71400d771b2,completed,,6,Sufism,"[""Sufism"", ""Sufism"", ""Sufism""]"
56f7f2e0aef2371900625cb1,completed,,15,21 October 1512,"[""21 October 1512"", ""21 October 1512"", ""October 1512,""]"
56f8094aa6d7ea1400e17394,completed,,4,1520,"[""1520"", ""1520"", ""To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.""]"
56f81393aef2371900625dac,completed,,13,Matthew 16:18,"[""Matthew 16:18"", ""Matthew 16:18"", ""Matthew 16:18""]"
56f84a60aef2371900625f9f,completed,,12,sixth sermon,"[""After the sixth sermon"", ""sixth"", ""After the sixth sermon""]"
56f85bb8aef2371900626012,completed,,18,John the Steadfast,"[""John the Steadfast"", ""John the Steadfast"", ""John the Steadfast,""]"
56f85e71a6d7ea1400e175c3,completed,,4,1527,"[""1527"", ""1527"", ""1527""]"
56f86e91aef2371900626069,completed,,47,evolution of the German language and literature,"[""evolution of the German language"", ""evolution of the German language and literature"", ""evolution of the German language and literature""]"
56f87e95aef237190062610c,completed,,18,a prayer for grace,"[""prayer for grace"", ""grace"", ""prayer for grace""]"
56f8ae099e9bad19000a02ee,completed,,21,the divinity of Jesus,"[""divinity of Jesus"", ""Jesus"", ""divinity of Jesus""]"
56f8bbb09e9bad19000a03dd,completed,,50,"a ""hysterical and demonizing mentality"" about Jews","[""hysterical and demonizing mentality"", ""a \""hysterical and demonizing mentality\"" about Jews"", ""hysterical and demonizing mentality""]"
56f8c5909b226e1400dd0f7d,completed,,8,Eisleben,"[""Eisleben"", ""Eisleben"", ""Eisleben""]"
56f8ca289b226e1400dd1007,completed,,41,A piece of paper with his last statement.,"[""his last statement"", ""his last statement"", ""last statement""]"
5705f36452bb891400689718,completed,,65,"northern, central, and southern California regions tourism groups","[""regional tourism groups"", ""regional tourism groups"", ""AAA Auto Clubs""]"
570602fa52bb89140068979e,completed,,12,economically,"[""economically"", ""economically"", ""economically""]"
57060eaf75f01819005e7910,completed,,13,Orange County,"[""Orange"", ""Orange County"", ""Orange County""]"
57094a79efce8f15003a7dc6,completed,,3,Sky,"[""Sky"", ""Sky"", ""Sky""]"
570961aa200fba1400367f17,completed,,17,27 September 2001,"[""27 September 2001"", ""27 September 2001"", ""September 2001""]"
57097c8fed30961900e841f4,completed,,14,often damaging,"[""often damaging"", ""often damaging"", ""often damaging""]"
570d2c20fed7b91900d45ca7,completed,,5,Koori,"[""Koori"", ""Koori"", ""Koori""]"
570d35b7b3d812140066d54f,completed,,7,"1,986 m","[""1,986 m"", ""1,986 m"", ""1,986 m""]"
570d47b8b3d812140066d62d,completed,,20,"1,600 mm (5 ft 3 in)","[""1,600 mm"", ""1,600 mm (5 ft 3 in) broad gauge"", ""1,600 mm (5 ft 3 in) broad gauge""]"
571077ecb654c5140001f90c,completed,,24,Dutch East India Company,"[""Dutch East India Company"", ""Dutch East India Company"", ""Dutch East India Company""]"
57107932a58dae1900cd69ce,completed,,8,Brooklyn,"[""Brooklyn"", ""Brooklyn"", ""Brooklyn""]"
5710968aa58dae1900cd6a87,completed,,13,Wine industry,"[""wine industry"", ""wine"", ""The wine industry""]"
571112ada58dae1900cd6bcf,completed,,12,little Hugos,"[""little Hugos, or those who want Hugo"", ""little Hugos"", ""little Hugos, or those who want Hugo.""]"
57111428b654c5140001fb00,completed,,9,Catholics,"[""Catholics"", ""Catholics"", ""Catholics""]"
5711163bb654c5140001fb16,completed,,11,La Rochelle,"[""La Rochelle"", ""La Rochelle"", ""La Rochelle""]"
57113be3a58dae1900cd6d28,completed,,10,James Watt,"[""James Watt"", ""James Watt"", ""James Watt"", ""James Watt""]"
571153422419e3140095557f,completed,,24,twin-cylinder locomotive,"[""twin-cylinder"", ""twin-cylinder"", ""twin-cylinder""]"
571156152419e3140095559e,completed,,9,7 million,"[""7 million"", ""7 million"", ""7 million""]"
5711623e50c2381900b54abc,completed,,4,seal,"[""seal"", ""seal"", ""a seal""]"
571a484210f8ca1400304fbd,completed,,1,8,"[""8"", ""8"", ""8"", ""8"", ""8""]"
571c3c47dd7acb1400e4c09e,completed,,14,photosynthesis,"[""photosynthesis"", ""living organisms"", ""photosynthesis"", ""photosynthesis"", ""photosynthesis""]"
571c8539dd7acb1400e4c0e6,completed,,17,phlogiston theory,"[""phlogiston theory"", ""phlogiston theory of combustion and corrosion"", ""phlogiston theory of combustion and corrosion"", ""phlogiston theory of combustion and corrosion"", ""phlogiston theory""]"
